transaction_id,customer_id,amount,payment_status,failure_reason,retry_count,recovery_action,priority,reason,should_execute
TXN0001,CUST1163,2023,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0002,CUST1173,12334,failed,insufficient_balance,0,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0003,CUST1129,10062,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0004,CUST1107,3810,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0005,CUST1178,7123,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0006,CUST1097,1783,failed,insufficient_balance,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0007,CUST1020,9243,abandoned,checkout_abandoned,2,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0008,CUST1011,11033,abandoned,checkout_abandoned,1,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0009,CUST1116,10614,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0010,CUST1179,11398,failed,bank_timeout,1,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0011,CUST1069,10684,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0012,CUST1058,13663,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0013,CUST1183,5354,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0014,CUST1067,2486,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0015,CUST1149,6742,abandoned,checkout_abandoned,1,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0016,CUST1193,970,failed,card_declined,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0017,CUST1119,8868,abandoned,checkout_abandoned,0,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0018,CUST1174,14695,failed,network_error,0,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0019,CUST1116,252,abandoned,checkout_abandoned,1,PRIORITY_REMINDER,HIGH,Premium customer abandoned checkout.,True
TXN0020,CUST1160,5088,failed,bank_timeout,2,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0021,CUST1000,10012,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0022,CUST1061,1148,abandoned,checkout_abandoned,0,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0023,CUST1194,8926,failed,authentication_failed,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0024,CUST1108,3669,failed,card_declined,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0025,CUST1115,2181,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0026,CUST1058,9840,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0027,CUST1017,713,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0028,CUST1054,9033,failed,bank_timeout,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0029,CUST1024,10995,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0030,CUST1172,10905,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0031,CUST1063,3338,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0032,CUST1118,4291,failed,authentication_failed,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
