transaction_id,amount,risk_score,risk_level,revenue_at_risk,reasons
TXN0001,2023.0,0,LOW,0.0,[]
TXN0002,12334.0,50,MEDIUM,12334.0,['Payment failed']
TXN0003,10062.0,0,LOW,0.0,[]
TXN0004,3810.0,0,LOW,0.0,[]
TXN0005,7123.0,0,LOW,0.0,[]
TXN0006,1783.0,70,HIGH,1783.0,"['Payment failed', 'Multiple recovery attempts already made']"
TXN0007,9243.0,60,MEDIUM,9243.0,"['Checkout was abandoned', 'Multiple recovery attempts already made']"
TXN0008,11033.0,40,MEDIUM,11033.0,['Checkout was abandoned']
TXN0009,10614.0,0,LOW,0.0,[]
TXN0010,11398.0,50,MEDIUM,11398.0,['Payment failed']
TXN0011,10684.0,0,LOW,0.0,[]
TXN0012,13663.0,0,LOW,0.0,[]
TXN0013,5354.0,0,LOW,0.0,[]
TXN0014,2486.0,0,LOW,0.0,[]
TXN0015,6742.0,40,MEDIUM,6742.0,['Checkout was abandoned']
TXN0016,970.0,50,MEDIUM,970.0,['Payment failed']
TXN0017,8868.0,40,MEDIUM,8868.0,['Checkout was abandoned']
TXN0018,14695.0,50,MEDIUM,14695.0,['Payment failed']
TXN0019,252.0,40,MEDIUM,252.0,['Checkout was abandoned']
TXN0020,5088.0,70,HIGH,5088.0,"['Payment failed', 'Multiple recovery attempts already made']"
TXN0021,10012.0,0,LOW,0.0,[]
TXN0022,1148.0,40,MEDIUM,1148.0,['Checkout was abandoned']
TXN0023,8926.0,50,MEDIUM,8926.0,['Payment failed']
TXN0024,3669.0,70,HIGH,3669.0,"['Payment failed', 'Multiple recovery attempts already made']"
TXN0025,2181.0,0,LOW,0.0,[]
TXN0026,9840.0,0,LOW,0.0,[]
TXN0027,713.0,0,LOW,0.0,[]
TXN0028,9033.0,70,HIGH,9033.0,"['Payment failed', 'Multiple recovery attempts already made']"
TXN0029,10995.0,0,LOW,0.0,[]
TXN0030,10905.0,0,LOW,0.0,[]
TXN0031,3338.0,0,LOW,0.0,[]
TXN0032,4291.0,50,MEDIUM,4291.0,['Payment failed']
TXN0033,1727.0,0,LOW,0.0,[]
TXN0034,2896.0,60,MEDIUM,2896.0,"['Checkout was abandoned', 'Multiple recovery attempts already made']"
TXN0035,12167.0,0,LOW,0.0,[]
TXN0036,12253.0,50,MEDIUM,12253.0,['Payment failed']
TXN0037,2778.0,0,LOW,0.0,[]
TXN0038,11261.0,0,LOW,0.0,[]
TXN0039,850.0,0,LOW,0.0,[]
TXN0040,4471.0,0,LOW,0.0,[]
TXN0041,7690.0,0,LOW,0.0,[]
TXN0042,9007.0,0,LOW,0.0,[]
TXN0043,6253.0,0,LOW,0.0,[]
TXN0044,13422.0,0,LOW,0.0,[]
TXN0045,4532.0,70,HIGH,4532.0,"['Payment failed', 'Multiple recovery attempts already made']"
TXN0046,5816.0,0,LOW,0.0,[]
TXN0047,10591.0,0,LOW,0.0,[]
TXN0048,4490.0,50,MEDIUM,4490.0,['Payment failed']
