transaction_id,customer_id,amount,payment_status,failure_reason,retry_count,recovery_action,priority,executed,success,recovered_amount,result,message
TXN0001,CUST1163,2023.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0002,CUST1173,12334.0,failed,insufficient_balance,0,PAYMENT_REMINDER,HIGH,True,False,0.0,FAILED,Recovery attempt was unsuccessful.
TXN0003,CUST1129,10062.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0004,CUST1107,3810.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0005,CUST1178,7123.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0006,CUST1097,1783.0,failed,insufficient_balance,3,STOP,HIGH,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0007,CUST1020,9243.0,abandoned,checkout_abandoned,2,PAYMENT_REMINDER,MEDIUM,True,True,9243.0,RECOVERED,Revenue successfully recovered.
TXN0008,CUST1011,11033.0,abandoned,checkout_abandoned,1,PAYMENT_REMINDER,MEDIUM,True,True,11033.0,RECOVERED,Revenue successfully recovered.
TXN0009,CUST1116,10614.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0010,CUST1179,11398.0,failed,bank_timeout,1,RETRY_PAYMENT,MEDIUM,True,True,11398.0,RECOVERED,Revenue successfully recovered.
TXN0011,CUST1069,10684.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0012,CUST1058,13663.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0013,CUST1183,5354.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0014,CUST1067,2486.0,success,none,0,NO_ACTION,LOW,False,False,0.0,NOT_EXECUTED,Action is outside automatic recovery scope.
TXN0015,CUST1149,6742.0,abandoned,checkout_abandoned,1,PAYMENT_REMINDER,MEDIUM,True,False,0.0,FAILED,Recovery attempt was unsuccessful.
TXN0016,CUST1193,970.0,failed,card_declined,0,ALTERNATIVE_PAYMENT,MEDIUM,True,True,970.0,RECOVERED,Revenue successfully recovered.
TXN0017,CUST1119,8868.0,abandoned,checkout_abandoned,0,PAYMENT_REMINDER,MEDIUM,True,False,0.0,FAILED,Recovery attempt was unsuccessful.
TXN0018,CUST1174,14695.0,failed,network_error,0,RETRY_PAYMENT,MEDIUM,True,True,14695.0,RECOVERED,Revenue successfully recovered.
TXN0019,CUST1116,252.0,abandoned,checkout_abandoned,1,PRIORITY_REMINDER,HIGH,True,True,252.0,RECOVERED,Revenue successfully recovered.
