transaction_id,customer_id,amount,payment_status,failure_reason,retry_count,customer_type,payment_method,subscription_status,days_since_last_payment,transaction_time
TXN0001,CUST1163,2023,success,none,0,new,Debit Card,active,47,2026-08-05 15:57:00
TXN0002,CUST1173,12334,failed,insufficient_balance,0,premium,UPI,active,13,2026-08-11 14:07:00
TXN0003,CUST1129,10062,success,none,0,new,Wallet,not_applicable,44,2026-08-25 19:13:00
TXN0004,CUST1107,3810,success,none,0,returning,Wallet,active,48,2026-08-08 06:23:00
TXN0005,CUST1178,7123,success,none,0,returning,Debit Card,inactive,6,2026-08-05 05:18:00
TXN0006,CUST1097,1783,failed,insufficient_balance,3,returning,Debit Card,not_applicable,7,2026-08-18 05:27:00
TXN0007,CUST1020,9243,abandoned,checkout_abandoned,2,returning,Wallet,not_applicable,12,2026-08-04 03:58:00
TXN0008,CUST1011,11033,abandoned,checkout_abandoned,1,new,Debit Card,active,24,2026-08-13 15:37:00
TXN0009,CUST1116,10614,success,none,0,returning,Credit Card,active,42,2026-08-13 03:36:00
TXN0010,CUST1179,11398,failed,bank_timeout,1,premium,UPI,active,29,2026-08-18 06:27:00
TXN0011,CUST1069,10684,success,none,0,premium,Wallet,active,53,2026-08-03 13:05:00
TXN0012,CUST1058,13663,success,none,0,new,Debit Card,active,13,2026-08-26 19:30:00
TXN0013,CUST1183,5354,success,none,0,new,Net Banking,not_applicable,29,2026-08-07 12:03:00
TXN0014,CUST1067,2486,success,none,0,new,Wallet,not_applicable,37,2026-08-20 11:57:00
TXN0015,CUST1149,6742,abandoned,checkout_abandoned,1,returning,Credit Card,not_applicable,31,2026-08-05 03:17:00
TXN0016,CUST1193,970,failed,card_declined,0,new,Credit Card,inactive,24,2026-08-28 02:52:00
TXN0017,CUST1119,8868,abandoned,checkout_abandoned,0,returning,Wallet,not_applicable,46,2026-08-06 05:07:00
TXN0018,CUST1174,14695,failed,network_error,0,premium,Debit Card,active,27,2026-08-08 04:45:00
TXN0019,CUST1116,252,abandoned,checkout_abandoned,1,premium,Debit Card,inactive,58,2026-08-05 20:13:00
TXN0020,CUST1160,5088,failed,bank_timeout,2,premium,Wallet,active,34,2026-08-25 03:17:00
TXN0021,CUST1000,10012,success,none,0,returning,Net Banking,inactive,56,2026-08-14 23:53:00
TXN0022,CUST1061,1148,abandoned,checkout_abandoned,0,new,Wallet,not_applicable,31,2026-08-04 03:35:00
TXN0023,CUST1194,8926,failed,authentication_failed,1,new,Credit Card,inactive,33,2026-08-28 14:33:00
TXN0024,CUST1108,3669,failed,card_declined,2,premium,Credit Card,active,57,2026-08-24 13:19:00
TXN0025,CUST1115,2181,success,none,0,new,Credit Card,active,37,2026-08-26 05:01:00
TXN0026,CUST1058,9840,success,none,0,new,UPI,not_applicable,3,2026-08-11 10:03:00
TXN0027,CUST1017,713,success,none,0,returning,UPI,inactive,42,2026-08-23 02:12:00
TXN0028,CUST1054,9033,failed,bank_timeout,3,new,Wallet,inactive,12,2026-08-05 07:01:00
TXN0029,CUST1024,10995,success,none,0,returning,Debit Card,inactive,55,2026-08-03 11:10:00
TXN0030,CUST1172,10905,success,none,0,premium,UPI,inactive,21,2026-08-05 23:21:00
TXN0031,CUST1063,3338,success,none,0,new,Wallet,inactive,11,2026-08-13 16:14:00
TXN0032,CUST1118,4291,failed,authentication_failed,0,new,Net Banking,active,41,2026-08-25 14:27:00
TXN0033,CUST1003,1727,success,none,0,new,Credit Card,inactive,13,2026-08-19 06:02:00
TXN0034,CUST1015,2896,abandoned,checkout_abandoned,2,returning,UPI,inactive,18,2026-08-20 06:02:00
TXN0035,CUST1178,12167,success,none,0,premium,Net Banking,active,13,2026-08-03 15:52:00
TXN0036,CUST1148,12253,failed,insufficient_balance,0,premium,UPI,inactive,30,2026-08-23 21:14:00
TXN0037,CUST1135,2778,success,none,0,new,Wallet,active,4,2026-08-28 01:56:00
TXN0038,CUST1017,11261,success,none,0,new,Net Banking,not_applicable,15,2026-08-27 08:20:00
TXN0039,CUST1152,850,success,none,0,premium,UPI,inactive,36,2026-08-24 19:01:00
TXN0040,CUST1080,4471,success,none,0,new,Debit Card,inactive,8,2026-08-30 09:03:00
TXN0041,CUST1076,7690,success,none,0,returning,UPI,not_applicable,36,2026-08-05 13:12:00
TXN0042,CUST1018,9007,success,none,0,new,Wallet,inactive,56,2026-08-04 03:08:00
TXN0043,CUST1062,6253,success,none,0,returning,Credit Card,not_applicable,45,2026-08-14 18:25:00
TXN0044,CUST1156,13422,success,none,0,premium,Wallet,inactive,19,2026-08-05 17:08:00
TXN0045,CUST1034,4532,failed,bank_timeout,2,new,UPI,inactive,38,2026-08-10 14:03:00
TXN0046,CUST1183,5816,success,none,0,new,Debit Card,inactive,57,2026-08-03 07:29:00
TXN0047,CUST1023,10591,success,none,0,returning,Debit Card,inactive,49,2026-08-06 22:53:00
TXN0048,CUST1163,4490,failed,card_declined,0,new,Net Banking,active,4,2026-08-07 18:48:00
TXN0049,CUST1139,789,failed,card_declined,1,returning,Wallet,active,19,2026-08-17 14:17:00
TXN0050,CUST1010,14926,failed,insufficient_balance,2,returning,Credit Card,not_applicable,56,2026-08-19 11:52:00
TXN0051,CUST1158,12478,abandoned,checkout_abandoned,1,new,Credit Card,inactive,1,2026-08-09 03:54:00
TXN0052,CUST1188,5641,success,none,0,returning,Credit Card,not_applicable,6,2026-08-18 09:50:00
TXN0053,CUST1009,14266,success,none,0,returning,Credit Card,inactive,22,2026-08-14 21:20:00
TXN0054,CUST1058,3851,success,none,0,new,Credit Card,inactive,55,2026-08-04 03:49:00
TXN0055,CUST1197,4772,success,none,0,returning,Wallet,not_applicable,21,2026-08-02 06:08:00
TXN0056,CUST1029,14568,failed,network_error,0,returning,Credit Card,active,38,2026-08-20 18:39:00
TXN0057,CUST1088,12135,failed,authentication_failed,0,returning,Net Banking,inactive,57,2026-08-27 05:47:00
TXN0058,CUST1048,4372,success,none,0,new,Net Banking,not_applicable,43,2026-08-09 23:12:00
TXN0059,CUST1093,7265,failed,insufficient_balance,2,new,Debit Card,not_applicable,19,2026-08-19 14:04:00
TXN0060,CUST1083,6791,failed,bank_timeout,3,premium,Debit Card,inactive,60,2026-08-18 06:07:00
